Timestamp,ID,Printify_Product_ID,eBay_Item_ID,Action,HTTP_Update,HTTP_Publish,Result,Error
2026-05-05T18:24:53,Sticker-Academia-0004,69f192aa5ea38382140f1d7b,406892408950,SYNC_TITLE_DESCRIPTION,200,200,OK,
2026-05-05T18:25:06,Sticker-Academia-0005,69f198efea1f992ded0e90e7,406892409123,SYNC_TITLE_DESCRIPTION,200,200,OK,
2026-05-05T18:25:17,Sticker-Academia-0006,69f19b945494697f0d01b78c,406892409348,SYNC_TITLE_DESCRIPTION,200,200,OK,
2026-05-05T18:25:48,Sticker-Academia-0007,69f1a56756390ef4cd09be1e,406892409645,SYNC_TITLE_DESCRIPTION,200,200,OK,
2026-05-05T18:25:58,Sticker-Academia-0008,69f1a630de3c2e09400f9c5f,406892409836,SYNC_TITLE_DESCRIPTION,200,200,OK,
2026-05-05T18:26:12,Sticker-Academia-0009,69f1a6acc2501ebbc40ac2e5,406892410017,SYNC_TITLE_DESCRIPTION,200,200,OK,
2026-05-05T18:26:24,Sticker-Academia-0010,69f1a724785a37b0240adad9,406892410190,SYNC_TITLE_DESCRIPTION,200,200,OK,
2026-05-05T18:26:37,Sticker-Academia-0011,69f1a7b0cfb25d6b6f0f10f7,406892410307,SYNC_TITLE_DESCRIPTION,200,200,OK,
2026-05-05T18:26:47,Sticker-Academia-0014,69f1a833592cc603cd0a91fd,406892410440,SYNC_TITLE_DESCRIPTION,200,200,OK,
2026-05-05T18:26:58,Sticker-Academia-0015,69f1a8b40bc0bf405305ef2b,406892411034,SYNC_TITLE_DESCRIPTION,200,200,OK,
2026-05-05T18:27:10,Sticker-Academia-0016,69f1a92ade3c2e09400f9e44,406892411436,SYNC_TITLE_DESCRIPTION,200,200,OK,
2026-05-05T18:27:22,Sticker-Zen-0001,69f1a99c785a37b0240adc94,406892411931,SYNC_TITLE_DESCRIPTION,200,200,OK,
2026-05-05T18:27:32,Sticker-Zen-0002,69f1ab9a63935da7e8064504,406892412365,SYNC_TITLE_DESCRIPTION,200,200,OK,
2026-05-05T18:27:41,Sticker-Zen-0003,69f1ac1804ea1d3ba9005c58,406892412612,SYNC_TITLE_DESCRIPTION,200,200,OK,
2026-05-05T18:27:53,Sticker-Zen-0004,69f1ac9740c796ee97057c83,406892412789,SYNC_TITLE_DESCRIPTION,200,200,OK,
2026-05-05T18:28:05,Sticker-Zen-0005,69f1ad18c59fe705400bacbf,406892413076,SYNC_TITLE_DESCRIPTION,200,200,OK,
2026-05-05T18:28:15,Sticker-Zen-0007,69f1ad9bbb6f6dd6270dc5df,406892413333,SYNC_TITLE_DESCRIPTION,200,200,OK,
2026-05-05T18:28:27,Sticker-Zen-0008,69f1aef4bb6f6dd6270dc7d5,406892413714,SYNC_TITLE_DESCRIPTION,200,200,OK,
