Snapshot_Timestamp,ID,Group,eBay_Item_ID,Baseline_Views_30_Days,Latest_Views_30_Days,Delta,Action
2026-05-06 01:23:31 -0400,Sticker-Academia-0004,A_TITLE_INTENT_REWRITE,406892408950,0,0,0,LOCAL_TITLE_DESCRIPTION_UPDATED
2026-05-06 01:23:31 -0400,Sticker-Academia-0005,A_TITLE_INTENT_REWRITE,406892409123,0,0,0,LOCAL_TITLE_DESCRIPTION_UPDATED
2026-05-06 01:23:31 -0400,Sticker-Academia-0006,A_TITLE_INTENT_REWRITE,406892409348,0,0,0,LOCAL_TITLE_DESCRIPTION_UPDATED
2026-05-06 01:23:31 -0400,Sticker-Academia-0007,A_TITLE_INTENT_REWRITE,406892409645,0,0,0,LOCAL_TITLE_DESCRIPTION_UPDATED
2026-05-06 01:23:31 -0400,Sticker-Academia-0008,A_TITLE_INTENT_REWRITE,406892409836,0,0,0,LOCAL_TITLE_DESCRIPTION_UPDATED
2026-05-06 01:23:31 -0400,Sticker-Academia-0009,A_TITLE_INTENT_REWRITE,406892410017,0,0,0,LOCAL_TITLE_DESCRIPTION_UPDATED
2026-05-06 01:23:31 -0400,Sticker-Academia-0010,A_TITLE_INTENT_REWRITE,406892410190,0,0,0,LOCAL_TITLE_DESCRIPTION_UPDATED
2026-05-06 01:23:31 -0400,Sticker-Academia-0011,A_TITLE_INTENT_REWRITE,406892410307,0,0,0,LOCAL_TITLE_DESCRIPTION_UPDATED
2026-05-06 01:23:31 -0400,Sticker-Academia-0014,A_TITLE_INTENT_REWRITE,406892410440,0,0,0,LOCAL_TITLE_DESCRIPTION_UPDATED
2026-05-06 01:23:31 -0400,Sticker-Academia-0015,A_TITLE_INTENT_REWRITE,406892411034,0,0,0,LOCAL_TITLE_DESCRIPTION_UPDATED
2026-05-06 01:23:31 -0400,Sticker-Academia-0016,A_TITLE_INTENT_REWRITE,406892411436,0,0,0,LOCAL_TITLE_DESCRIPTION_UPDATED
2026-05-06 01:23:31 -0400,Sticker-Zen-0001,A_TITLE_INTENT_REWRITE,406892411931,0,0,0,LOCAL_TITLE_DESCRIPTION_UPDATED
2026-05-06 01:23:31 -0400,Sticker-Zen-0002,A_TITLE_INTENT_REWRITE,406892412365,0,0,0,LOCAL_TITLE_DESCRIPTION_UPDATED
2026-05-06 01:23:31 -0400,Sticker-Zen-0003,A_TITLE_INTENT_REWRITE,406892412612,0,0,0,LOCAL_TITLE_DESCRIPTION_UPDATED
2026-05-06 01:23:31 -0400,Sticker-Zen-0004,A_TITLE_INTENT_REWRITE,406892412789,0,0,0,LOCAL_TITLE_DESCRIPTION_UPDATED
2026-05-06 01:23:31 -0400,Sticker-Zen-0005,A_TITLE_INTENT_REWRITE,406892413076,0,0,0,LOCAL_TITLE_DESCRIPTION_UPDATED
2026-05-06 01:23:31 -0400,Sticker-Zen-0007,A_TITLE_INTENT_REWRITE,406892413333,0,0,0,LOCAL_TITLE_DESCRIPTION_UPDATED
2026-05-06 01:23:31 -0400,Sticker-Zen-0008,A_TITLE_INTENT_REWRITE,406892413714,0,0,0,LOCAL_TITLE_DESCRIPTION_UPDATED
2026-05-06 01:23:31 -0400,Sticker-Zen-0010,B_COVER_QA_PRIORITY,406892414116,0,0,0,NO_LOCAL_CHANGE
2026-05-06 01:23:31 -0400,Sticker-Zen-0022,B_COVER_QA_PRIORITY,406892414235,0,0,0,NO_LOCAL_CHANGE
2026-05-06 01:23:31 -0400,Sticker-Zen-0025,B_COVER_QA_PRIORITY,406892327989,0,0,0,NO_LOCAL_CHANGE
2026-05-06 01:23:31 -0400,Sticker-Zen-0027,B_COVER_QA_PRIORITY,406892414741,0,0,0,NO_LOCAL_CHANGE
2026-05-06 01:23:31 -0400,Sticker-Zen-0041,B_COVER_QA_PRIORITY,406902593931,0,0,0,NO_LOCAL_CHANGE
2026-05-06 01:23:31 -0400,Sticker-Zen-0044,B_COVER_QA_PRIORITY,406902622710,0,0,0,NO_LOCAL_CHANGE
2026-05-06 01:23:31 -0400,Sticker-Zen-0045,B_COVER_QA_PRIORITY,406902640998,0,0,0,NO_LOCAL_CHANGE
2026-05-06 01:23:31 -0400,Sticker-Zen-0046,B_COVER_QA_PRIORITY,406902663232,0,0,0,NO_LOCAL_CHANGE
2026-05-06 01:23:31 -0400,Sticker-Zen-0049,B_COVER_QA_PRIORITY,406902713267,0,0,0,NO_LOCAL_CHANGE
2026-05-06 01:23:31 -0400,Sticker-Zen-0050,B_COVER_QA_PRIORITY,406902886081,0,0,0,NO_LOCAL_CHANGE
2026-05-06 01:23:31 -0400,Sticker-Zen-0051,B_COVER_QA_PRIORITY,406902889638,0,0,0,NO_LOCAL_CHANGE
2026-05-06 01:23:31 -0400,Sticker-Zen-0052,B_COVER_QA_PRIORITY,406902896387,0,0,0,NO_LOCAL_CHANGE
2026-05-06 01:23:31 -0400,Sticker-Zen-0053,B_COVER_QA_PRIORITY,406902900109,0,0,0,NO_LOCAL_CHANGE
2026-05-06 01:23:31 -0400,Sticker-Zen-0054,B_COVER_QA_PRIORITY,406903032635,0,0,0,NO_LOCAL_CHANGE
2026-05-06 01:23:31 -0400,Sticker-Zen-0055,C_HOLDOUT_CONTROL,406903037933,0,0,0,NO_LOCAL_CHANGE
2026-05-06 01:23:31 -0400,Sticker-Zen-0056,C_HOLDOUT_CONTROL,406903041315,0,0,0,NO_LOCAL_CHANGE
2026-05-06 01:23:31 -0400,Sticker-Zen-0057,C_HOLDOUT_CONTROL,406903044643,0,0,0,NO_LOCAL_CHANGE
2026-05-06 01:23:31 -0400,Sticker-Zen-0058,C_HOLDOUT_CONTROL,406903049411,0,0,0,NO_LOCAL_CHANGE
2026-05-06 01:23:31 -0400,Sticker-Zen-0060,C_HOLDOUT_CONTROL,406903249053,0,0,0,NO_LOCAL_CHANGE
2026-05-06 01:23:31 -0400,Sticker-Zen-0061,C_HOLDOUT_CONTROL,406903249987,0,0,0,NO_LOCAL_CHANGE
2026-05-06 01:23:31 -0400,Sticker-Zen-0062,C_HOLDOUT_CONTROL,406903250891,0,0,0,NO_LOCAL_CHANGE
2026-05-06 01:23:31 -0400,Sticker-Zen-0063,C_HOLDOUT_CONTROL,406903252007,0,0,0,NO_LOCAL_CHANGE
2026-05-06 01:23:31 -0400,Sticker-Zen-0066,C_HOLDOUT_CONTROL,406903252739,0,0,0,NO_LOCAL_CHANGE
2026-05-06 01:23:31 -0400,Sticker-Zen-0069,C_HOLDOUT_CONTROL,406903753067,0,0,0,NO_LOCAL_CHANGE
2026-05-06 01:23:31 -0400,Sticker-Zen-0070,C_HOLDOUT_CONTROL,406903757240,0,0,0,NO_LOCAL_CHANGE
2026-05-06 01:23:31 -0400,Sticker-Zen-0071,C_HOLDOUT_CONTROL,406903762328,0,0,0,NO_LOCAL_CHANGE
