Timestamp,ID,Zip_Path,Zip_MB,Zip_Status,Image_Count,Readme_Present,Worst_Image_Status,Worst_Image_Reason,QA_Status,QA_Reason
2026-05-06T20:08:28,Poster-Academia-0001,C:\AIprojects\openclaw_difi\Output\Digital\Printable_Wall_Art\Poster-Academia-0001_celestial-gateway-dark-academia-poster-12x18-study-decor-moonstone-architecture.zip,11.31,OK,5,True,PASS,,PASS,
2026-05-06T20:08:31,Poster-Academia-0002,C:\AIprojects\openclaw_difi\Output\Digital\Printable_Wall_Art\Poster-Academia-0002_dark-academia-obsidian-threshold-poster-12x18-vintage-study-decor-mentor-wisdom.zip,12.63,OK,5,True,PASS,,PASS,
2026-05-06T20:08:38,Poster-Academia-0003,C:\AIprojects\openclaw_difi\Output\Digital\Printable_Wall_Art\Poster-Academia-0003_dark-academia-serpentine-portal-of-alchemical-texts-12x18-poster-study-decor.zip,11.36,OK,5,True,PASS,,PASS,
2026-05-06T20:08:42,Poster-Academia-0081,C:\AIprojects\openclaw_difi\Output\Digital\Printable_Wall_Art\Poster-Academia-0081_celestial-armillary-sphere-dark-academia-poster-12x18-scholar-study-decor-wall.zip,11.18,OK,5,True,PASS,,PASS,
2026-05-06T20:08:46,Poster-Academia-0082,C:\AIprojects\openclaw_difi\Output\Digital\Printable_Wall_Art\Poster-Academia-0082_celestial-armillary-codex-academia-poster-12x18-vintage-astronomy-decor-wall.zip,13.73,OK,5,True,PASS,,PASS,
2026-05-06T20:08:49,Poster-Academia-0083,C:\AIprojects\openclaw_difi\Output\Digital\Printable_Wall_Art\Poster-Academia-0083_academia-mentor-grade-cosmic-lotus-observatory-12x18-poster-steampunk-study.zip,10.09,OK,5,True,PASS,,PASS,
2026-05-06T20:08:51,Poster-Academia-0084,C:\AIprojects\openclaw_difi\Output\Digital\Printable_Wall_Art\Poster-Academia-0084_astrolabe-chalice-relic-dark-academia-poster-12x18-vintage-study-decor-wall.zip,12.08,OK,5,True,PASS,,PASS,
2026-05-06T20:08:54,Poster-Academia-0085,C:\AIprojects\openclaw_difi\Output\Digital\Printable_Wall_Art\Poster-Academia-0085_orrery-lighthouse-beacon-dark-academia-poster-12x18-vintage-astronomy-wall-art.zip,11.11,OK,5,True,PASS,,PASS,
2026-05-06T20:08:56,Poster-Academia-0091,C:\AIprojects\openclaw_difi\Output\Digital\Printable_Wall_Art\Poster-Academia-0091_dark-academia-celestial-lotus-poster-12x18-vintage-study-room-wall-art-decor.zip,9.17,OK,5,True,PASS,,PASS,
2026-05-06T20:08:59,Poster-Zen-0001,C:\AIprojects\openclaw_difi\Output\Digital\Printable_Wall_Art\Poster-Zen-0001_zen-bonsai-wall-art-celestial-gate-of-jade-mist-12x18-poster-meditation-decor.zip,11.28,OK,5,True,PASS,,PASS,
