Timestamp,ID,Group,Product_Type,eBay_Item_ID,Printify_Product_ID,Views_30_Days,Old_Title_Length,New_Title_Length,Old_Title,New_Title,Action,Success_Metric
2026-05-05 18:22:20 ,Sticker-Academia-0004,A_TITLE_INTENT_REWRITE,Sticker,406892408950,69f192aa5ea38382140f1d7b,0,78,77,Vintage Academia Mechanical Raven Familiar 4pc 6x6 Sticker Sheet Literary Cozy,4pc Kiss-Cut Sticker Set Mechanical Raven Familiar Laptop Journal Bottle Dark,LOCAL_TITLE_DESCRIPTION_UPDATED,48-72h views/impressions/clicks compared with holdout
2026-05-05 18:22:20 ,Sticker-Academia-0005,A_TITLE_INTENT_REWRITE,Sticker,406892409123,69f198efea1f992ded0e90e7,0,77,72,Forbidden Grimoire Lock 4pc 6x6 Kiss-Cut Sticker Dark Academia Laptop Journal,4pc Vinyl Sticker Set Forbidden Grimoire Lock Laptop Bottle Journal Dark,LOCAL_TITLE_DESCRIPTION_UPDATED,48-72h views/impressions/clicks compared with holdout
2026-05-05 18:22:20 ,Sticker-Academia-0006,A_TITLE_INTENT_REWRITE,Sticker,406892409348,69f19b945494697f0d01b78c,0,79,75,Botanical Terrarium Lantern 4pc 6x6 Kiss-Cut Sticker Dark Academia Laptop Vinyl,4pc Sticker Set Botanical Terrarium Lantern Vinyl Decals Laptop Bottle Dark,LOCAL_TITLE_DESCRIPTION_UPDATED,48-72h views/impressions/clicks compared with holdout
2026-05-05 18:22:20 ,Sticker-Academia-0007,A_TITLE_INTENT_REWRITE,Sticker,406892409645,69f1a56756390ef4cd09be1e,0,76,78,Astrolabe Navigation Instrument Vintage Academia 4pc 6x6 Kiss-Cut Vinyl Desk,4pc Kiss-Cut Sticker Set Astrolabe Navigation Instrument Laptop Journal Bottle,LOCAL_TITLE_DESCRIPTION_UPDATED,48-72h views/impressions/clicks compared with holdout
2026-05-05 18:22:20 ,Sticker-Academia-0008,A_TITLE_INTENT_REWRITE,Sticker,406892409836,69f1a630de3c2e09400f9c5f,0,79,73,Ritual Incense Censer Gothic Academia 4pc 6x6 Vinyl Sticker Reader Writer Decor,4pc Vinyl Sticker Set Ritual Incense Censer Gothic Academia Laptop Bottle,LOCAL_TITLE_DESCRIPTION_UPDATED,48-72h views/impressions/clicks compared with holdout
2026-05-05 18:22:20 ,Sticker-Academia-0009,A_TITLE_INTENT_REWRITE,Sticker,406892410017,69f1a6acc2501ebbc40ac2e5,0,76,77,Gothic Academia Cathedral Fragment 4pc 6x6 Vinyl Sticker Laptop Journal Gift,4pc Sticker Set Gothic Academia Cathedral Fragment Vinyl Decals Laptop Bottle,LOCAL_TITLE_DESCRIPTION_UPDATED,48-72h views/impressions/clicks compared with holdout
2026-05-05 18:22:20 ,Sticker-Academia-0010,A_TITLE_INTENT_REWRITE,Sticker,406892410190,69f1a724785a37b0240adad9,0,79,73,Vintage Academia Compass Rose Talisman 4pc 6x6 Sticker Sheet Literary Cozy Gift,4pc Kiss-Cut Sticker Set Compass Rose Talisman Laptop Journal Bottle Dark,LOCAL_TITLE_DESCRIPTION_UPDATED,48-72h views/impressions/clicks compared with holdout
2026-05-05 18:22:20 ,Sticker-Academia-0011,A_TITLE_INTENT_REWRITE,Sticker,406892410307,69f1a7b0cfb25d6b6f0f10f7,0,77,71,Apothecary Poison Vial Vintage Academia 4pc 6x6 Kiss-Cut Vinyl Desk Collector,4pc Vinyl Sticker Set Apothecary Poison Vial Laptop Bottle Journal Dark,LOCAL_TITLE_DESCRIPTION_UPDATED,48-72h views/impressions/clicks compared with holdout
2026-05-05 18:22:20 ,Sticker-Academia-0014,A_TITLE_INTENT_REWRITE,Sticker,406892410440,69f1a833592cc603cd0a91fd,0,75,78,Dark Academia Microscope Observation Device 4pc 6x6 Kiss-Cut Sticker Laptop,4pc Vinyl Sticker Set Microscope Observation Device Laptop Bottle Journal Dark,LOCAL_TITLE_DESCRIPTION_UPDATED,48-72h views/impressions/clicks compared with holdout
2026-05-05 18:22:20 ,Sticker-Academia-0015,A_TITLE_INTENT_REWRITE,Sticker,406892411034,69f1a8b40bc0bf405305ef2b,0,79,76,Skeleton Key Portal Vintage Academia 4pc 6x6 Kiss-Cut Vinyl Desk Collector Gift,4pc Sticker Set Skeleton Key Portal Vinyl Decals Laptop Bottle Dark Academia,LOCAL_TITLE_DESCRIPTION_UPDATED,48-72h views/impressions/clicks compared with holdout
2026-05-05 18:22:20 ,Sticker-Academia-0016,A_TITLE_INTENT_REWRITE,Sticker,406892411436,69f1a92ade3c2e09400f9e44,0,79,77,Gothic Academia Prism Light Refractor 4pc 6x6 Vinyl Sticker Laptop Journal Gift,4pc Kiss-Cut Sticker Set Gothic Academia Prism Light Refractor Laptop Journal,LOCAL_TITLE_DESCRIPTION_UPDATED,48-72h views/impressions/clicks compared with holdout
2026-05-05 18:22:20 ,Sticker-Zen-0001,A_TITLE_INTENT_REWRITE,Sticker,406892411931,69f1a99c785a37b0240adc94,0,77,77,Mindful Zen Koi Pond 4pc 6x6 Vinyl Sticker Laptop Journal Gift Jade Art Decor,4pc Sticker Set Mindful Zen Koi Pond Vinyl Decals Laptop Bottle Zen Aesthetic,LOCAL_TITLE_DESCRIPTION_UPDATED,48-72h views/impressions/clicks compared with holdout
2026-05-05 18:22:20 ,Sticker-Zen-0002,A_TITLE_INTENT_REWRITE,Sticker,406892412365,69f1ab9a63935da7e8064504,0,78,74,Minimal Zen Bonsai Tree of Serenity 4pc 6x6 Sticker Sheet Serene Mindful Clean,4pc Kiss-Cut Sticker Set Bonsai Tree of Serenity Laptop Journal Bottle Zen,LOCAL_TITLE_DESCRIPTION_UPDATED,48-72h views/impressions/clicks compared with holdout
2026-05-05 18:22:20 ,Sticker-Zen-0003,A_TITLE_INTENT_REWRITE,Sticker,406892412612,69f1ac1804ea1d3ba9005c58,0,79,73,Lotus Mandala Mindful Zen 4pc 6x6 Vinyl Sticker Yoga Minimalist Gift Gift Decor,4pc Vinyl Sticker Set Lotus Mandala Mindful Zen Laptop Bottle Journal Zen,LOCAL_TITLE_DESCRIPTION_UPDATED,48-72h views/impressions/clicks compared with holdout
2026-05-05 18:22:20 ,Sticker-Zen-0004,A_TITLE_INTENT_REWRITE,Sticker,406892412789,69f1ac9740c796ee97057c83,0,79,78,Stone Guardian Lion Mindful Zen 4pc 6x6 Vinyl Sticker Yoga Minimalist Gift Gift,4pc Sticker Set Stone Guardian Lion Mindful Zen Vinyl Decals Laptop Bottle Zen,LOCAL_TITLE_DESCRIPTION_UPDATED,48-72h views/impressions/clicks compared with holdout
2026-05-05 18:22:20 ,Sticker-Zen-0005,A_TITLE_INTENT_REWRITE,Sticker,406892413076,69f1ad18c59fe705400bacbf,0,79,74,Bamboo Forest Minimal Zen 4pc 6x6 Kiss-Cut Vinyl Desk Collector Decor Misty Art,4pc Kiss-Cut Sticker Set Bamboo Forest Laptop Journal Bottle Zen Aesthetic,LOCAL_TITLE_DESCRIPTION_UPDATED,48-72h views/impressions/clicks compared with holdout
