ID,Title,File_Column,Path,Exists,Width,Height,MB,Mode,OK,Issue,Listing_OK
Poster-Academia-0091,Dark Academia Celestial Lotus Printable Wall Art Vintage Study Room Wall Art Decor Digital Download,Digital_File_1,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0091_Dark-Academia-Celestial-Lotus-Poster-12x18-Vinta\Poster-Academia-0091_2x3_QuietRelicStudio.jpg,True,3600,5400,2.02,RGB,True,,True
Poster-Academia-0091,Dark Academia Celestial Lotus Printable Wall Art Vintage Study Room Wall Art Decor Digital Download,Digital_File_2,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0091_Dark-Academia-Celestial-Lotus-Poster-12x18-Vinta\Poster-Academia-0091_3x4_QuietRelicStudio.jpg,True,3600,4800,1.9,RGB,True,,True
Poster-Academia-0091,Dark Academia Celestial Lotus Printable Wall Art Vintage Study Room Wall Art Decor Digital Download,Digital_File_3,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0091_Dark-Academia-Celestial-Lotus-Poster-12x18-Vinta\Poster-Academia-0091_4x5_QuietRelicStudio.jpg,True,3600,4500,1.84,RGB,True,,True
Poster-Academia-0091,Dark Academia Celestial Lotus Printable Wall Art Vintage Study Room Wall Art Decor Digital Download,Digital_File_4,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0091_Dark-Academia-Celestial-Lotus-Poster-12x18-Vinta\Poster-Academia-0091_11x14_QuietRelicStudio.jpg,True,3300,4200,1.65,RGB,True,,True
Poster-Academia-0091,Dark Academia Celestial Lotus Printable Wall Art Vintage Study Room Wall Art Decor Digital Download,Digital_File_5,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0091_Dark-Academia-Celestial-Lotus-Poster-12x18-Vinta\Poster-Academia-0091_A-Series_QuietRelicStudio.jpg,True,3508,4961,1.9,RGB,True,,True
Poster-Academia-0091,Dark Academia Celestial Lotus Printable Wall Art Vintage Study Room Wall Art Decor Digital Download,Preview_1,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0091_Dark-Academia-Celestial-Lotus-Poster-12x18-Vinta\Preview_01_Framed_Wall_Art.jpg,True,2000,2000,0.37,RGB,True,,True
Poster-Academia-0091,Dark Academia Celestial Lotus Printable Wall Art Vintage Study Room Wall Art Decor Digital Download,Preview_2,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0091_Dark-Academia-Celestial-Lotus-Poster-12x18-Vinta\Preview_02_Included_Sizes.jpg,True,2000,2000,0.2,RGB,True,,True
Poster-Academia-0091,Dark Academia Celestial Lotus Printable Wall Art Vintage Study Room Wall Art Decor Digital Download,Preview_3,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0091_Dark-Academia-Celestial-Lotus-Poster-12x18-Vinta\Preview_03_Ratio_Gallery.jpg,True,2000,2000,0.51,RGB,True,,True
Poster-Zen-0001,Zen Bonsai Wall Art Celestial Gate of Jade Mist Printable Wall Art Meditation Decor Digital Download,Digital_File_1,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Zen-0001_Zen-Bonsai-Wall-Art-Celestial-Gate-of-Jade-Mist\Poster-Zen-0001_2x3_QuietRelicStudio.jpg,True,3600,5400,2.51,RGB,True,,True
Poster-Zen-0001,Zen Bonsai Wall Art Celestial Gate of Jade Mist Printable Wall Art Meditation Decor Digital Download,Digital_File_2,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Zen-0001_Zen-Bonsai-Wall-Art-Celestial-Gate-of-Jade-Mist\Poster-Zen-0001_3x4_QuietRelicStudio.jpg,True,3600,4800,2.32,RGB,True,,True
