Timestamp,ID,eBay_Item_ID,Printify_Product_ID,Title,Online_URL,Online_Image_URL,Online_Image_Path,Cover_Path,Gallery_U1_Path,Best_U_Label,Best_U_Path,Distance_To_Cover,Best_U_Distance,Result,Note,Error
2026-05-05T21:25:04-04:00,Sticker-Zen-0010,406892414116,69f1b00840c796ee97058144,Floating Island Sanctuary 4pc 6x6 Kiss-Cut Sticker Zen Aesthetic Laptop Journal,https://www.ebay.com/itm/406892414116,https://i.ebayimg.com/thumbs/images/g/lJMAAeSwv5dp8ept/s-l1600.jpg,C:\AIprojects\openclaw_difi\Database\eBay_Online_Cover_Audit\images\Sticker-Zen-0010_online.jpg,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0010_Ready_for_Steaming\Cover_Mockup.png,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0010_Ready_for_Steaming\Sticker-Zen-0010_U1_Grid.png,U2,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0010_Ready_for_Steaming\Sticker-Zen-0010_U2_Grid.png,0,206,LIKELY_COVER,cover closer than U2 by 206,
2026-05-05T21:25:18-04:00,Sticker-Zen-0022,406892414235,69f1b1ab63935da7e8064bab,Mindful Zen Garden Stone Meis seki 4pc 6x6 Vinyl Sticker Laptop Journal Gift,https://www.ebay.com/itm/406892414235,https://i.ebayimg.com/images/g/8w8AAeSwppNp8ep-/s-l1600.webp,C:\AIprojects\openclaw_difi\Database\eBay_Online_Cover_Audit\images\Sticker-Zen-0022_online.jpg,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0022_Ready_for_Steaming\Cover_Mockup.png,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0022_Ready_for_Steaming\Sticker-Zen-0022_U1_Grid.png,U4,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0022_Ready_for_Steaming\Sticker-Zen-0022_U4_Grid.png,213,2,LIKELY_SINGLE_U_MISMATCH,U4 closer by 211,
2026-05-05T21:25:32-04:00,Sticker-Zen-0025,406892327989,69f1cb4ef6b83091a50959f5,Koi Fish in Jade Pond Hisui no Koi Mindful Zen 4pc 6x6 Vinyl Sticker Yoga Luck,https://www.ebay.com/itm/406892327989,https://i.ebayimg.com/images/g/sfMAAeSwmT1p8dsV/s-l960.webp,C:\AIprojects\openclaw_difi\Database\eBay_Online_Cover_Audit\images\Sticker-Zen-0025_online.jpg,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0025_Ready_for_Steaming\Cover_Mockup.png,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0025_Ready_for_Steaming\Sticker-Zen-0025_U1_Grid.png,U4,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0025_Ready_for_Steaming\Sticker-Zen-0025_U4_Grid.png,331,0,LIKELY_SINGLE_U_MISMATCH,U4 closer by 331,
2026-05-05T21:25:41-04:00,Sticker-Zen-0027,406892414741,69f1ce0f11e0745fcb0da03a,Minimal Zen Temple Lantern Zendera no T r 4pc 6x6 Sticker Sheet Serene Mindful,https://www.ebay.com/itm/406892414741,https://i.ebayimg.com/images/g/7FcAAeSwl5xp8eqf/s-l960.webp,C:\AIprojects\openclaw_difi\Database\eBay_Online_Cover_Audit\images\Sticker-Zen-0027_online.jpg,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0027_Ready_for_Steaming\Cover_Mockup.png,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0027_Ready_for_Steaming\Sticker-Zen-0027_U1_Grid.png,U2,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0027_Ready_for_Steaming\Sticker-Zen-0027_U2_Grid.png,254,1,LIKELY_SINGLE_U_MISMATCH,U2 closer by 253,
2026-05-05T21:25:50-04:00,Sticker-Zen-0041,406902593931,69f1db9382fcf925cf08206d,Minimal Zen Kintsugi Gold Dragon 4pc 6x6 Sticker Sheet Serene Mindful Clean,https://www.ebay.com/itm/406902593931,https://i.ebayimg.com/images/g/uesAAeSw8iBp-Bp3/s-l960.webp,C:\AIprojects\openclaw_difi\Database\eBay_Online_Cover_Audit\images\Sticker-Zen-0041_online.jpg,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0041_Ready_for_Steaming\Cover_Mockup.png,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0041_Ready_for_Steaming\Sticker-Zen-0041_U1_Grid.png,U2,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0041_Ready_for_Steaming\Sticker-Zen-0041_U2_Grid.png,336,0,LIKELY_SINGLE_U_MISMATCH,U2 closer by 336,
2026-05-05T21:25:58-04:00,Sticker-Zen-0044,406902622710,69f2396ccaeb1241880b692d,Zen Aesthetic Dragon Coil 4pc 6x6 Kiss-Cut Sticker Laptop Journal Water Bottle,https://www.ebay.com/itm/406902622710,https://i.ebayimg.com/images/g/I~8AAeSw-jZp-B2c/s-l960.webp,C:\AIprojects\openclaw_difi\Database\eBay_Online_Cover_Audit\images\Sticker-Zen-0044_online.jpg,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0044_Ready_for_Steaming\Cover_Mockup.png,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0044_Ready_for_Steaming\Sticker-Zen-0044_U1_Grid.png,U3,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0044_Ready_for_Steaming\Sticker-Zen-0044_U3_Grid.png,296,1,LIKELY_SINGLE_U_MISMATCH,U3 closer by 295,
2026-05-05T21:26:08-04:00,Sticker-Zen-0045,406902640998,69f21a5da7777da1970fd378,Floating Dragon Minimal Zen 4pc 6x6 Kiss-Cut Vinyl Desk Collector Decor Sky Art,https://www.ebay.com/itm/406902640998,https://i.ebayimg.com/images/g/a6QAAeSwSQRp-CBe/s-l960.webp,C:\AIprojects\openclaw_difi\Database\eBay_Online_Cover_Audit\images\Sticker-Zen-0045_online.jpg,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0045_Ready_for_Steaming\Cover_Mockup.png,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0045_Ready_for_Steaming\Sticker-Zen-0045_U1_Grid.png,U4,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0045_Ready_for_Steaming\Sticker-Zen-0045_U4_Grid.png,290,0,LIKELY_SINGLE_U_MISMATCH,U4 closer by 290,
2026-05-05T21:26:16-04:00,Sticker-Zen-0046,406902663232,69f21b07b0d6b88b2805ebe3,Zen Aesthetic Dragon and Pearl 4pc 6x6 Kiss-Cut Sticker Laptop Journal Water,https://www.ebay.com/itm/406902663232,https://i.ebayimg.com/images/g/drMAAeSwVJVp-CJQ/s-l960.webp,C:\AIprojects\openclaw_difi\Database\eBay_Online_Cover_Audit\images\Sticker-Zen-0046_online.jpg,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0046_Ready_for_Steaming\Cover_Mockup.png,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0046_Ready_for_Steaming\Sticker-Zen-0046_U1_Grid.png,U4,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0046_Ready_for_Steaming\Sticker-Zen-0046_U4_Grid.png,274,0,LIKELY_SINGLE_U_MISMATCH,U4 closer by 274,
2026-05-05T21:26:24-04:00,Sticker-Zen-0049,406902713267,69f23a2fa7777da1970fe60d,Sleeping Dragon Minimal Zen 4pc 6x6 Kiss-Cut Vinyl Desk Collector Decor Laptop,https://www.ebay.com/itm/406902713267,https://i.ebayimg.com/images/g/oo8AAeSwiY5p-Cdm/s-l960.webp,C:\AIprojects\openclaw_difi\Database\eBay_Online_Cover_Audit\images\Sticker-Zen-0049_online.jpg,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0049_Ready_for_Steaming\Cover_Mockup.png,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0049_Ready_for_Steaming\Sticker-Zen-0049_U1_Grid.png,U4,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0049_Ready_for_Steaming\Sticker-Zen-0049_U4_Grid.png,321,0,LIKELY_SINGLE_U_MISMATCH,U4 closer by 321,
2026-05-05T21:26:33-04:00,Sticker-Zen-0050,406902886081,69f23a99c326d7da170bfe8d,Translucent Jade Dragon Mindful Zen 4pc 6x6 Vinyl Sticker Yoga Minimalist Gift,https://www.ebay.com/itm/406902886081,https://i.ebayimg.com/images/g/zy0AAeSwx-9p-D2U/s-l960.webp,C:\AIprojects\openclaw_difi\Database\eBay_Online_Cover_Audit\images\Sticker-Zen-0050_online.jpg,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0050_Ready_for_Steaming\Cover_Mockup.png,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0050_Ready_for_Steaming\Sticker-Zen-0050_U1_Grid.png,U2,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Zen-0050_Ready_for_Steaming\Sticker-Zen-0050_U2_Grid.png,277,0,LIKELY_SINGLE_U_MISMATCH,U2 closer by 277,
