timestamp,status,http_status,oauth_next_step,credentials_present,keystring_masked,detail
2026-05-06 10:13:51 -0400,PENDING_OR_INACTIVE,403,WAIT_APP_APPROVAL_OR_VERIFY_SECRET,True,ehm7...jc9l,"{""error"":""API key not found or not active, or incorrect shared secret for API key.""}
"
2026-05-06 10:42:49 -0400,PENDING_OR_INACTIVE,403,WAIT_APP_APPROVAL_OR_VERIFY_SECRET,True,ehm7...jc9l,"{""error"":""API key not found or not active, or incorrect shared secret for API key.""}
"
2026-05-06 10:46:30 -0400,PENDING_OR_INACTIVE,403,WAIT_APP_APPROVAL_OR_VERIFY_SECRET,True,ehm7...jc9l,"{""error"":""API key not found or not active, or incorrect shared secret for API key.""}
"
2026-05-06 12:32:11 -0400,PENDING_OR_INACTIVE,403,WAIT_APP_APPROVAL_OR_VERIFY_SECRET,True,ehm7...jc9l,"{""error"":""API key not found or not active, or incorrect shared secret for API key.""}
"
2026-05-06 12:37:05 -0400,PENDING_OR_INACTIVE,403,WAIT_APP_APPROVAL_OR_VERIFY_SECRET,True,ehm7...jc9l,"{""error"":""API key not found or not active, or incorrect shared secret for API key.""}
"
2026-05-06 12:45:19 -0400,PENDING_OR_INACTIVE,403,WAIT_APP_APPROVAL_OR_VERIFY_SECRET,True,ehm7...jc9l,"{""error"":""API key not found or not active, or incorrect shared secret for API key.""}
"
2026-05-06 12:52:28 -0400,PENDING_OR_INACTIVE,403,WAIT_APP_APPROVAL_OR_VERIFY_SECRET,True,ehm7...jc9l,"{""error"":""API key not found or not active, or incorrect shared secret for API key.""}
"
2026-05-06 13:52:53 -0400,PENDING_OR_INACTIVE,403,WAIT_APP_APPROVAL_OR_VERIFY_SECRET,True,ehm7...jc9l,"{""error"":""API key not found or not active, or incorrect shared secret for API key.""}
"
2026-05-06 15:11:25 -0400,PENDING_OR_INACTIVE,403,WAIT_APP_APPROVAL_OR_VERIFY_SECRET,True,ehm7...jc9l,"{""error"":""API key not found or not active, or incorrect shared secret for API key.""}
"
2026-05-06 17:07:21 -0400,PENDING_OR_INACTIVE,403,WAIT_APP_APPROVAL_OR_VERIFY_SECRET,True,ehm7...jc9l,"{""error"":""API key not found or not active, or incorrect shared secret for API key.""}
"
2026-05-06 17:55:50 -0400,PENDING_OR_INACTIVE,403,WAIT_APP_APPROVAL_OR_VERIFY_SECRET,True,ehm7...jc9l,"{""error"":""API key not found or not active, or incorrect shared secret for API key.""}
"
2026-05-06 20:22:32 -0400,PENDING_OR_INACTIVE,403,WAIT_APP_APPROVAL_OR_VERIFY_SECRET,True,ehm7...jc9l,"{""error"":""API key not found or not active, or incorrect shared secret for API key.""}
"
2026-05-06 20:31:24 -0400,PENDING_OR_INACTIVE,403,WAIT_APP_APPROVAL_OR_VERIFY_SECRET,True,ehm7...jc9l,"{""error"":""API key not found or not active, or incorrect shared secret for API key.""}
"
